Time,Open,High,Low,Close
2016.06.01 00:00,110.665,110.684,110.655,110.676
2016.06.01 00:05,110.677,110.706,110.658,110.706
2016.06.01 00:10,110.707,110.707,110.677,110.702
2016.06.01 00:15,110.703,110.722,110.702,110.71
2016.06.01 00:20,110.711,110.738,110.711,110.728
2016.06.01 00:25,110.727,110.734,110.724,110.725
2016.06.01 00:30,110.722,110.728,110.713,110.72
2016.06.01 00:35,110.722,110.722,110.712,110.715
2016.06.01 00:40,110.718,110.724,110.717,110.719
2016.06.01 00:45,110.717,110.727,110.71,110.726
2016.06.01 00:50,110.725,110.73,110.719,110.73
2016.06.01 00:55,110.728,110.732,110.722,110.725
2016.06.01 01:00,110.727,110.727,110.696,110.71
2016.06.01 01:05,110.707,110.707,110.689,110.695
2016.06.01 01:10,110.694,110.702,110.687,110.691
2016.06.01 01:15,110.69,110.701,110.688,110.698
2016.06.01 01:20,110.695,110.713,110.692,110.701
2016.06.01 01:25,110.705,110.717,110.704,110.71
2016.06.01 01:30,110.711,110.723,110.708,110.716
2016.06.01 01:35,110.715,110.726,110.709,110.723
2016.06.01 01:40,110.722,110.731,110.708,110.709
2016.06.01 01:45,110.71,110.719,110.705,110.718
2016.06.01 01:50,110.716,110.728,110.708,110.72
2016.06.01 01:55,110.719,110.74,110.715,110.737
2016.06.01 02:00,110.736,110.736,110.694,110.696
2016.06.01 02:05,110.695,110.696,110.67,110.676
2016.06.01 02:10,110.675,110.694,110.673,110.694
2016.06.01 02:15,110.693,110.694,110.658,110.659
2016.06.01 02:20,110.66,110.665,110.659,110.663
2016.06.01 02:25,110.664,110.686,110.646,110.682
2016.06.01 02:30,110.681,110.726,110.673,110.725
2016.06.01 02:35,110.727,110.764,110.726,110.76
2016.06.01 02:40,110.759,110.76,110.735,110.748
2016.06.01 02:45,110.75,110.754,110.717,110.718
2016.06.01 02:50,110.717,110.721,110.591,110.621
2016.06.01 02:55,110.622,110.679,110.621,110.63
2016.06.01 03:00,110.629,110.659,110.515,110.528
2016.06.01 03:05,110.527,110.569,110.501,110.512
2016.06.01 03:10,110.515,110.528,110.411,110.5
2016.06.01 03:15,110.502,110.577,110.501,110.524
2016.06.01 03:20,110.523,110.554,110.521,110.531
2016.06.01 03:25,110.533,110.592,110.531,110.59
2016.06.01 03:30,110.591,110.623,110.59,110.613
2016.06.01 03:35,110.614,110.631,110.592,110.631
2016.06.01 03:40,110.629,110.685,110.62,110.655
2016.06.01 03:45,110.656,110.686,110.625,110.625
2016.06.01 03:50,110.624,110.638,110.61,110.615
2016.06.01 03:55,110.616,110.616,110.535,110.572
2016.06.01 04:00,110.573,110.647,110.547,110.584
2016.06.01 04:05,110.581,110.599,110.551,110.578
2016.06.01 04:10,110.58,110.602,110.554,110.574
2016.06.01 04:15,110.575,110.591,110.543,110.544
2016.06.01 04:20,110.543,110.64,110.539,110.622
2016.06.01 04:25,110.621,110.645,110.613,110.617
2016.06.01 04:30,110.616,110.826,110.611,110.771
2016.06.01 04:35,110.774,110.798,110.745,110.746
2016.06.01 04:40,110.747,110.753,110.722,110.732
2016.06.01 04:45,110.731,110.77,110.674,110.714
2016.06.01 04:50,110.713,110.725,110.667,110.677
2016.06.01 04:55,110.678,110.715,110.653,110.705
2016.06.01 05:00,110.704,110.704,110.667,110.701
2016.06.01 05:05,110.7,110.702,110.664,110.677
2016.06.01 05:10,110.674,110.674,110.62,110.665
2016.06.01 05:15,110.666,110.704,110.666,110.685
2016.06.01 05:20,110.683,110.728,110.681,110.727
2016.06.01 05:25,110.728,110.764,110.728,110.74
2016.06.01 05:30,110.739,110.741,110.698,110.7
2016.06.01 05:35,110.698,110.698,110.665,110.67
2016.06.01 05:40,110.669,110.695,110.65,110.693
2016.06.01 05:45,110.692,110.692,110.667,110.686
2016.06.01 05:50,110.687,110.712,110.654,110.71
2016.06.01 05:55,110.711,110.723,110.696,110.722
2016.06.01 06:00,110.723,110.725,110.675,110.679
2016.06.01 06:05,110.68,110.685,110.62,110.625
2016.06.01 06:10,110.626,110.677,110.625,110.67
2016.06.01 06:15,110.669,110.689,110.641,110.648
2016.06.01 06:20,110.646,110.66,110.627,110.634
2016.06.01 06:25,110.635,110.644,110.558,110.58
2016.06.01 06:30,110.579,110.617,110.563,110.616
2016.06.01 06:35,110.617,110.633,110.604,110.617
2016.06.01 06:40,110.616,110.624,110.576,110.579
2016.06.01 06:45,110.578,110.604,110.544,110.554
2016.06.01 06:50,110.553,110.611,110.551,110.609
2016.06.01 06:55,110.61,110.649,110.585,110.593
2016.06.01 07:00,110.592,110.763,110.586,110.704
2016.06.01 07:05,110.705,110.746,110.675,110.683
2016.06.01 07:10,110.682,110.691,110.66,110.688
2016.06.01 07:15,110.691,110.694,110.668,110.687
2016.06.01 07:20,110.686,110.688,110.634,110.641
2016.06.01 07:25,110.642,110.68,110.642,110.648
2016.06.01 07:30,110.647,110.66,110.602,110.61
2016.06.01 07:35,110.611,110.614,110.569,110.569
2016.06.01 07:40,110.57,110.585,110.565,110.58
2016.06.01 07:45,110.579,110.606,110.576,110.59
2016.06.01 07:50,110.589,110.615,110.587,110.598
2016.06.01 07:55,110.597,110.599,110.463,110.479
2016.06.01 08:00,110.481,110.493,110.045,110.052
2016.06.01 08:05,110.053,110.18,110.046,110.165
2016.06.01 08:10,110.163,110.163,109.981,110.044
2016.06.01 08:15,110.033,110.1,109.986,110.061
2016.06.01 08:20,110.06,110.122,110.037,110.08
2016.06.01 08:25,110.079,110.079,109.639,109.804
2016.06.01 08:30,109.805,109.856,109.789,109.811
2016.06.01 08:35,109.81,109.844,109.706,109.832
2016.06.01 08:40,109.833,109.88,109.791,109.878
2016.06.01 08:45,109.877,109.909,109.837,109.877
2016.06.01 08:50,109.876,109.926,109.855,109.918
2016.06.01 08:55,109.917,109.951,109.863,109.951
2016.06.01 09:00,109.953,109.97,109.888,109.899
2016.06.01 09:05,109.897,109.943,109.842,109.943
2016.06.01 09:10,109.941,109.964,109.896,109.954
2016.06.01 09:15,109.955,110.029,109.943,109.968
2016.06.01 09:20,109.967,109.972,109.926,109.939
2016.06.01 09:25,109.938,109.969,109.926,109.953
2016.06.01 09:30,109.954,109.966,109.785,109.82
2016.06.01 09:35,109.821,109.854,109.777,109.84
2016.06.01 09:40,109.839,109.934,109.826,109.926
2016.06.01 09:45,109.927,109.989,109.909,109.989
2016.06.01 09:50,109.991,109.992,109.963,109.981
2016.06.01 09:55,109.979,110.064,109.956,110.053
2016.06.01 10:00,110.052,110.053,109.947,109.967
2016.06.01 10:05,109.966,109.968,109.858,109.871
2016.06.01 10:10,109.87,109.956,109.862,109.936
2016.06.01 10:15,109.935,109.936,109.865,109.919
2016.06.01 10:20,109.917,109.961,109.893,109.956
2016.06.01 10:25,109.953,109.96,109.919,109.92
2016.06.01 10:30,109.921,109.935,109.822,109.862
2016.06.01 10:35,109.863,109.904,109.855,109.88
2016.06.01 10:40,109.881,110.074,109.848,110.062
2016.06.01 10:45,110.066,110.132,110.063,110.113
2016.06.01 10:50,110.112,110.165,110.068,110.081
2016.06.01 10:55,110.082,110.097,110.04,110.049
2016.06.01 11:00,110.05,110.113,110.029,110.06
2016.06.01 11:05,110.061,110.141,110.054,110.118
2016.06.01 11:10,110.117,110.123,110.037,110.076
2016.06.01 11:15,110.075,110.094,110.025,110.028
2016.06.01 11:20,110.029,110.034,109.972,110.013
2016.06.01 11:25,110.014,110.045,109.992,109.995
2016.06.01 11:30,109.996,110.067,109.991,110.047
2016.06.01 11:35,110.048,110.051,109.945,109.969
2016.06.01 11:40,109.971,109.972,109.903,109.947
2016.06.01 11:45,109.948,109.962,109.828,109.835
2016.06.01 11:50,109.836,109.866,109.798,109.864
2016.06.01 11:55,109.863,109.885,109.838,109.864
