Time,Open,High,Low,Close
2015.01.02 08:00,120.416,120.443,120.331,120.399
2015.01.02 09:00,120.4,120.506,120.384,120.436
2015.01.02 10:00,120.436,120.483,120.342,120.344
2015.01.02 11:00,120.343,120.426,120.312,120.407
2015.01.02 12:00,120.408,120.476,120.377,120.434
2015.01.02 13:00,120.435,120.493,120.433,120.478
2015.01.02 14:00,120.478,120.654,120.478,120.624
2015.01.02 15:00,120.623,120.652,120.552,120.603
2015.01.02 16:00,120.604,120.74,120.572,120.685
2015.01.02 17:00,120.686,120.693,119.999,120.193
2015.01.02 18:00,120.192,120.231,119.805,120.208
2015.01.02 19:00,120.207,120.385,120.146,120.228
2015.01.02 20:00,120.233,120.321,120.206,120.307
2015.01.02 21:00,120.308,120.391,120.297,120.337
2015.01.02 22:00,120.336,120.485,120.303,120.469
2015.01.02 23:00,120.469,120.532,120.433,120.458
2015.01.05 01:00,120.531,120.573,120.367,120.392
2015.01.05 02:00,120.391,120.414,119.978,120.259
2015.01.05 03:00,120.259,120.424,120.124,120.399
2015.01.05 04:00,120.403,120.403,120.235,120.33
2015.01.05 05:00,120.33,120.6,120.31,120.593
2015.01.05 06:00,120.593,120.646,120.493,120.543
2015.01.05 07:00,120.543,120.605,120.355,120.399
2015.01.05 08:00,120.405,120.51,120.357,120.379
2015.01.05 09:00,120.379,120.475,120.306,120.367
2015.01.05 10:00,120.368,120.424,120.26,120.352
2015.01.05 11:00,120.351,120.392,120.128,120.212
2015.01.05 12:00,120.211,120.381,120.168,120.358
2015.01.05 13:00,120.357,120.43,120.235,120.27
2015.01.05 14:00,120.271,120.284,120.037,120.153
2015.01.05 15:00,120.154,120.178,119.757,119.823
2015.01.05 16:00,119.823,119.835,119.456,119.486
2015.01.05 17:00,119.485,119.667,119.371,119.585
2015.01.05 18:00,119.587,119.78,119.432,119.652
2015.01.05 19:00,119.648,119.784,119.554,119.609
2015.01.05 20:00,119.609,119.79,119.574,119.69
2015.01.05 21:00,119.69,119.698,119.494,119.532
2015.01.05 22:00,119.532,119.673,119.49,119.657
2015.01.05 23:00,119.657,119.657,119.57,119.631
2015.01.06 01:00,119.285,119.487,119.285,119.42
2015.01.06 02:00,119.419,119.504,119.154,119.162
2015.01.06 03:00,119.164,119.448,119.158,119.444
2015.01.06 04:00,119.443,119.443,119.169,119.334
2015.01.06 05:00,119.335,119.382,119.248,119.292
2015.01.06 06:00,119.29,119.293,119.085,119.237
2015.01.06 07:00,119.236,119.238,118.883,118.957
2015.01.06 08:00,118.957,119.039,118.651,118.794
2015.01.06 09:00,118.793,119.17,118.783,119.163
2015.01.06 10:00,119.163,119.234,118.748,118.878
2015.01.06 11:00,118.879,119.007,118.711,118.834
2015.01.06 12:00,118.833,118.98,118.746,118.967
2015.01.06 13:00,118.967,119.34,118.961,119.312
2015.01.06 14:00,119.311,119.389,119.049,119.051
2015.01.06 15:00,119.048,119.127,118.898,119
2015.01.06 16:00,119,119.195,118.853,118.87
2015.01.06 17:00,118.87,119.063,118.604,118.706
2015.01.06 18:00,118.705,118.805,118.197,118.204
2015.01.06 19:00,118.211,118.481,118.05,118.478
2015.01.06 20:00,118.477,118.477,118.082,118.37
2015.01.06 21:00,118.37,118.647,118.241,118.623
2015.01.06 22:00,118.623,118.812,118.496,118.5
2015.01.06 23:00,118.499,118.611,118.356,118.363
2015.01.07 01:00,118.587,118.695,118.504,118.659
2015.01.07 02:00,118.658,118.851,118.64,118.749
2015.01.07 03:00,118.748,119.005,118.731,119.001
2015.01.07 04:00,119.002,119.166,119.001,119.069
2015.01.07 05:00,119.069,119.105,118.888,119.014
2015.01.07 06:00,119.01,119.096,118.971,119.043
2015.01.07 07:00,119.044,119.069,118.803,118.87
2015.01.07 08:00,118.871,119.096,118.796,119.041
2015.01.07 09:00,119.041,119.251,118.915,119.068
2015.01.07 10:00,119.069,119.201,118.968,119.071
2015.01.07 11:00,119.072,119.101,118.695,118.83
2015.01.07 12:00,118.83,119.199,118.761,119.152
2015.01.07 13:00,119.152,119.165,119.011,119.135
2015.01.07 14:00,119.135,119.225,119.029,119.169
2015.01.07 15:00,119.172,119.547,119.156,119.405
2015.01.07 16:00,119.405,119.568,119.293,119.501
2015.01.07 17:00,119.5,119.647,119.406,119.444
2015.01.07 18:00,119.443,119.544,119.294,119.531
2015.01.07 19:00,119.53,119.574,119.429,119.485
2015.01.07 20:00,119.486,119.515,119.218,119.238
2015.01.07 21:00,119.238,119.525,118.845,118.94
2015.01.07 22:00,118.94,119.201,118.94,119.146
2015.01.07 23:00,119.146,119.254,119.067,119.249
2015.01.08 01:00,119.314,119.408,119.246,119.28
2015.01.08 02:00,119.279,119.478,119.157,119.447
2015.01.08 03:00,119.444,119.715,119.369,119.683
2015.01.08 04:00,119.69,119.76,119.601,119.711
2015.01.08 05:00,119.71,119.817,119.613,119.682
2015.01.08 06:00,119.681,119.795,119.632,119.741
2015.01.08 07:00,119.741,119.749,119.633,119.703
2015.01.08 08:00,119.703,119.897,119.702,119.863
2015.01.08 09:00,119.864,119.961,119.781,119.805
